Order ID,Return request date,ASIN,Merchant SKU,Item Name,Return quantity,Return Reason
111-8013459-7578607,01/21/25,B017OEGBIO,uglysweater55-L,Costume Agent Adult Let's Get Baked Happy Gingerbread Ugly Christmas Sweater (Green),1,CR-UNWANTED_ITEM
112-2726498-0013838,01/21/25,B0CHK2KN72,MachoManGlasses-ZigZagWhite,Costume Agent Macho Wrestler Man Madness Glasses Halloween Costume Accessory Cosplay Sunglasses (Zig Zag White),1,AMZ-PG-APP-STYLE
112-7858563-7987429,01/21/25,B09LMQW58Q,MUMA05VMN-MaruchanNoodle-XL,Mad Engine Adult Unisex Maruchan Ramen Noodles Fun Christmas Lounge Pajama Pants,1,AMZ-PG-APP-TOO-LARGE
112-8057340-4139425,01/21/25,B07L17YKBZ,ILoveXmasUCS-M,Costume Agent I Love Xmas HOHOHO Light Up (LED) and Bells Ugly Christmas Sweater - White (Medium),1,AMZ-PG-APP-STYLE
113-5083883-5287458,01/21/25,B07JQJRJTS,FilthyAnimalLoungePants-XF003-M,Briefly Stated Merry Christmas Pajama Pants For Men and Women,1,CR-UNWANTED_ITEM
113-5083883-5287458,01/21/25,B07JRDQX72,FilthyAnimalLoungePants-XF003-XXL,Briefly Stated Merry Christmas Pajama Pants For Men and Women,1,CR-MISSED_ESTIMATED_DELIVERY
112-3125408-3383443,01/21/25,B0B8FZZ59X,ChesterCheetosSuit-M,"Cheetos Men's Chester Cheetah Fleece Costume Union Suit, Sun Orange/White, Medium",1,CR-MISSED_ESTIMATED_DELIVERY
114-3783529-8573800,01/21/25,B07GX4Z3PV,HanSoloJacket-4045-M,C-Life Star Wars Replica Han Solo Brown Jacket (Adult Medium),1,AMZ-PG-APP-TOO-SMALL
111-6780753-9656216,01/20/25,B00U0I6KJM,KRSM2011-KrampusSweater-L,Krampus Knit Ugly Christmas Sweater - Large - Man Christmas Sweater - Ugly Christmas Sweaters Men - Knit sweater - Ugly Sweater - Edgy Mens Clothing,1,DID_NOT_LIKE_COLOR
111-9585517-1627414,01/20/25,B0B72DPVB2,TMNTShirt-Youth-Mike-S,"Teenage Mutant Ninja Turtles TMNT Boys Costume Youth T-Shirt(SM, Michelangelo)",1,CR-MISSED_ESTIMATED_DELIVERY
113-6694202-5757803,01/20/25,B08LP5RJJ7,RMSM3847-RickMortyHolidayPartyUCS-L,Ripple Junction Rick and Morty Holiday Party Light Blue Ugly Christmas Sweater,1,AMZ-PG-APP-TOO-SMALL
111-9543170-5665015,01/20/25,B0C8KNKP9M,220929-LucyDressAdult-3XL,"Costume Agent Lucy Comic Strip Good Grief Adult Halloween Costume Cosplay Blue Dress, 3X-Large",1,DID_NOT_LIKE_FABRIC
111-3674338-2293048,01/20/25,B0CDN4DN7Q,221030-CampWalden-Shirt-S,Camp Walden Summer Camp Parent Movie Unisex Adult Halloween Costume Cosplay White,1,DID_NOT_LIKE_FABRIC
114-9794249-9738602,01/20/25,B0DJDN9VWP,PN510MPTTV-PeanutsLoungePants-L,Peanuts Snoopy and Woodstock Christmas Presents All Over Adult Sleep Ultra-Soft Pajamas Lounge Pants - Officially Licensed (Large),1,CR-DEFECTIVE
111-4992832-9025838,01/20/25,B0DFK4Y9R3,210554-SantaSleigherUCS-XL,UglyChristmasSweater Rock and Roll Santa Claus Guitar Sleigher Knitted Multicolor,1,CR-DEFECTIVE
114-4814514-2214662,01/20/25,B0DJ18B6YZ,MF24US207-SantaGrinchSuit-XL,Grinch with Santa Hat Face All Over Pajamas Jumpsuit - Christmas Union Suit with Hood and Pockets for Men and Women (X-Large) Multicolor,1,AMZ-PG-APP-TOO-SMALL
111-5793682-7011463,01/20/25,B0CDDG4D94,221003-CheerleaderMens-L,Cheerleader Halloween Costume for Mens and Womens Adult Unisex Varsity High School Cosplay,1,AMZ-PG-APP-TOO-SMALL
113-4485424-6067461,01/20/25,B0CV1GM61H,uglysweater52N-XL,Fragile Leg Lamp Light Up Green Ugly Christmas Sweater,1,AMZ-PG-APP-TOO-SMALL
113-3967383-8491418,01/20/25,B0CV1TXRTS,uglysweater52N-XXL,Fragile Leg Lamp Light Up Green Ugly Christmas Sweater,1,AMZ-PG-APP-TOO-LARGE
114-3490256-3455409,01/20/25,B00CP8M6A2,mm001Nyel-XXL,M&M M&M's Candy Yellow Silly Character Face Adult T-Shirt (Adult XX-Large),1,AMZ-PG-APP-TOO-LARGE
111-2649966-2688219,01/20/25,B0044FUFKC,teenwolfcostume1-L,TV Store Teen Wolf Beavers 42 Scott Werewolf Basketball Jersey Complete Costume (Large),1,AMZ-PG-APP-TOO-SMALL
113-3620571-3244211,01/20/25,B076HFSX43,CY034-ChristmasStoryUnionSuit-L,Briefly Stated A Christmas Story Bunny Union Suit Pajama Costume (Adult Large),1,CR-MISSED_ESTIMATED_DELIVERY
